timestamp,name,price,cbd_potency,tch_potency,strain,brand,effect,quantity
2023/01/14 21:47:19,Flower-Wedding Cake Buds 3.5g,35,0.08,23.2,INDICA,Rev Brands,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,Flower-G13 Skunk Buds 3.5g,50,None,23.03,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Flower-Lambs Bread Buds 3.5g,50,None,27,SATIVA,Nature's Heritage,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",25
2023/01/14 21:47:19,Flower-Jersey Sherbet Buds 7g,65,None,22.6,HYBRID,In House,"CALM,HAPPY,RELAXED,ENERGETIC",14
2023/01/14 21:47:19,Flower-Local Skunk Buds 3.5g,50,None,31.17,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",5
2023/01/14 21:47:19,Flower-Mayflower Ghost Train Haze | 3.5g,40,None,30.48,SATIVA,Mayflower,"CREATIVE,ENERGETIC,FOCUSED,HAPPY,INSPIRED",25
2023/01/14 21:47:19,Apex RBx2 #1  3.5g,35,None,22.21,HYBRID,Revolutionary Clinics,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Flower-Galactic Runtz #4 Buds 7g,65,None,24.96,HYBRID,In House,"CALM,HAPPY,RELAXED,ENERGETIC",9
2023/01/14 21:47:19,Flower-Acid Dough 3.5g,40,None,32.3,SATIVA,Mayflower,"CREATIVE,ENERGETIC,FOCUSED,HAPPY,INSPIRED",14
2023/01/14 21:47:19,Flower-Double Krush Buds 3.5g,50,None,25.23,HYBRID,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",14
2023/01/14 21:47:19,Flower-Dosi Woah Buds 3.5g,50,None,26.55,INDICA,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",25
2023/01/14 21:47:19,Flower-Orange Kush Cake 3.5g,40,None,22.9,HYBRID,The Heirloom Collective,"CALM,HAPPY,RELAXED,ENERGETIC",3
2023/01/14 21:47:19,Flower-Wonka Bars 3.5g,50,None,25.61,INDICA,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",19
2023/01/14 21:47:19,Live Flower-Guicy Banger 3.5g,50,None,25.03,SATIVA,Nature's Heritage,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",25
2023/01/14 21:47:19,Flower-Hash Plant #1 Buds 3.5g,50,None,27.56,INDICA,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",16
2023/01/14 21:47:19,Nature's Heritage | Live Flower | Grape Diamonds 3.5g,55,None,20.98,NOT_APPLICABLE,Nature's Heritage,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",25
2023/01/14 21:47:19,Flower-The Big Smooth Buds 3.5g,50,None,25.79,NOT_APPLICABLE,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",22
2023/01/14 21:47:19,Flower-Indian Landrace Buds 7g,65,None,18.91,HYBRID,In House,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Flower-Headband x Memory Loss #4 Buds 3.5g,45,0.11,28.3,HYBRID,Mile 62,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Flower-Crescendo 3.5g,50,None,23.72,NOT_APPLICABLE,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",7
2023/01/14 21:47:19,Live Flower-Chocolatina 3.5g,55,None,28.18,HYBRID,Nature's Heritage,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,Flower-Butterstuff Buds 3.5g,35,0.06,18.5,HYBRID,Revolutionary Clinics,"CALM,HAPPY,RELAXED,ENERGETIC",19
2023/01/14 21:47:19,Flower-Bubba Kush 3.5g,55,None,25.82,INDICA,Smyth Cannabis Co.,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,Flower-Frozen Pines Buds 3.5g,35,None,18.43,INDICA,Revolutionary Clinics,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,Flower-Colorado Chem Buds 3.5g,50,None,24.52,HYBRID,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",9
2023/01/14 21:47:19,Flower-J1 Buds 3.5g,35,0.1,20.1,HYBRID,Local Roots,"CALM,HAPPY,RELAXED,ENERGETIC",22
2023/01/14 21:47:19,Flower-Trinity Express Buds 3.5g,40,None,23.7,HYBRID,Mayflower,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Flower-Forbidden Zkittles Buds 3.5g,35,None,22.32,INDICA,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",25
2023/01/14 21:47:19,Flower-Citrus Berry 3.5g,35,None,16.7,HYBRID,Southie Adams,"CALM,HAPPY,RELAXED,ENERGETIC",10
2023/01/14 21:47:19,Flower-MAC 1 Buds 14g,115,None,22.57,HYBRID,In House,"CALM,HAPPY,RELAXED,ENERGETIC",9
2023/01/14 21:47:19,Flower-Bubble Bath Buds 3.5g,35,None,17.1,INDICA,High Supply,"RELAXED,SLEEPY,HAPPY",16
2023/01/14 21:47:19,Flower-Rainbow Chip Buds 3.5g,50,None,22.36,HYBRID,Nature's Heritage,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,In House-Flower-Rainbow Chip Buds 7g,65,None,21.34,HYBRID,In House,"CALM,HAPPY,RELAXED,ENERGETIC",18
2023/01/14 21:47:19,Live Flower-The Big Smooth 3.5g,60,None,25.05,NOT_APPLICABLE,Nature's Heritage,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,Flower-Garlic Z 3.5g,45,0.11,26.9,HYBRID,Mile 62,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Flower-Sugar Plum Sunset Buds 3.5g,35,0.1,18.7,INDICA,High Supply,"RELAXED,SLEEPY,HAPPY",6
2023/01/14 21:47:19,Flower-Night Terror OG Buds 3.5g,40,None,20.61,INDICA,Southie Adams,"RELAXED,SLEEPY,HAPPY",4
2023/01/14 21:47:19,Flower-London Pound Mints 11 Buds 3.5g,50,0.06,23.6,HYBRID,Smyth Cannabis Co.,"CALM,HAPPY,RELAXED,ENERGETIC",19
2023/01/14 21:47:19,Flower-G-13 3.5g,45,None,24.97,HYBRID,Green Gold Group,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Flower-E-12 14g,115,None,22.92,HYBRID,In House,"CALM,HAPPY,RELAXED,ENERGETIC",12
2023/01/14 21:47:19,In House-Flower-Caprica Six #8 Buds 14g,115,None,22.21,HYBRID,In House,"CALM,HAPPY,RELAXED,ENERGETIC",9
2023/01/14 21:47:19,Flower-Parts Unknown Buds 3.5g,55,None,23.3,HYBRID,Cookies,"CALM,HAPPY,RELAXED,ENERGETIC",6
2023/01/14 21:47:19,Flower-Garlic Mints 3.5g,55,0.09,29,HYBRID,Mile 62,"CALM,HAPPY,RELAXED,ENERGETIC",10
2023/01/14 21:47:19,"Flower-8"" Bagel Buds 3.5g",35,None,16.6,INDICA,High Supply,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,Flower-Ethos Chem OG Buds 3.5g,50,None,22.96,HYBRID,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",25
