timestamp,name,price,cbd_potency,tch_potency,strain,brand,effect,quantity
2023/01/14 21:47:07,Infused Pre-Roll Dosi Woah .5g (5pk),50,None,35.65,INDICA,Nature's Heritage,"RELAXED,SLEEPY,HAPPY",15
2023/01/14 21:47:07,Pre-Roll-Double Krush 1g,15,None,32.38,HYBRID,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",25
2023/01/14 21:47:07,Preroll 2pk-Wedding Cake .5g,13,None,30.63,INDICA,Solar,"RELAXED,SLEEPY,HAPPY",1
2023/01/14 21:47:07,Infused Preroll w/Bubble Hash-Lamb's Bread .5g 5pk,60,None,37.68,SATIVA,Nature's Heritage,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",21
2023/01/14 21:47:07,Pre-Roll-Dosi Woah 5pk .5g ea,35,None,27.54,INDICA,Nature's Heritage,"RELAXED,SLEEPY,HAPPY",20
2023/01/14 21:47:07,Pre-Roll-Mimosa Blunt 1g,18,None,26.57,SATIVA,Papi Sweet Sluggers,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",25
2023/01/14 21:47:07,Preroll 10pk-Lilac Diesel 0.5g,46,None,17.23,SATIVA,Solar,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",13
2023/01/14 21:47:07,Infused Pre-Roll-Local Skunk 5pk .5g each,60,None,39.19,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",11
2023/01/14 21:47:07,Preroll-Double Tangie Banana .5g 2pk,15,None,20.76,SATIVA,Nature's Heritage,"ENERGETIC,HAPPY,CREATIVE,FOCUSED,INSPIRED",25
2023/01/14 21:47:07,Preroll-Monkey Mints .5g 5pk,35,None,27.26,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",4
2023/01/14 21:47:07,Infused Pre-roll-Lava Cake #11 Blunt 1g,30,0.3,84.3,HYBRID,Papi Sweet Sluggers,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:07,Pre-Roll-Monkey Mints 1g,15,None,27.01,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:07,Pre-Roll-OG Kush 5pk Pre-Roll .8g each,30,0.07,17.19,HYBRID,No. 9,"CALM,HAPPY,RELAXED,ENERGETIC",2
2023/01/14 21:47:07,Pre-Roll-OG Kush 1g,8,0.07,17.51,HYBRID,No. 9,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:07,Pre-Roll-Fire Stomper 1g,14,None,18.8,HYBRID,Cultivate,"CALM,HAPPY,RELAXED,ENERGETIC",15
2023/01/14 21:47:07,Preroll-The Big Smooth 1g,15,None,26.03,NOT_APPLICABLE,Nature's Heritage,"RELAXED,SLEEPY,HAPPY",16
2023/01/14 21:47:07,Nature's Heritage-Preroll-The Big Smooth .5g 2pk,15,None,25.77,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",25
